iter	Logloss
0	0.6802158559
1	0.6662923617
2	0.655685486
3	0.6435851258
4	0.6329612054
5	0.6223692341
6	0.6124589219
7	0.6034219155
8	0.5952086997
9	0.5866766051
10	0.5765511519
11	0.568281894
12	0.5584086402
13	0.5492131679
14	0.5407035454
15	0.5349514886
16	0.5256027953
17	0.519277371
18	0.5113269878
19	0.5046360191
20	0.4964791711
21	0.4888356712
22	0.4818295172
23	0.4739376371
24	0.4673394835
25	0.4624821634
26	0.456891266
27	0.4503260483
28	0.4431781877
29	0.4357384921
30	0.4288833192
31	0.4219250558
32	0.4150863508
33	0.4085538656
34	0.4027944496
35	0.3968230562
36	0.3914988326
37	0.385549568
38	0.3794597698
39	0.373774093
40	0.3691650265
41	0.3640692063
42	0.3602751404
43	0.3553511032
44	0.3512401368
45	0.3449650897
46	0.3412534434
47	0.3375564489
48	0.3331032676
49	0.3286836836
