iter	Passed	Remaining
0	0	51
1	1	52
2	1	51
3	2	71
4	3	66
5	4	63
6	4	61
7	5	59
8	5	57
9	6	56
10	6	54
11	7	53
12	7	52
13	8	52
14	9	51
15	9	50
16	10	49
17	10	48
18	11	47
19	11	46
20	12	45
21	12	45
22	13	44
23	13	44
24	14	43
25	15	42
26	16	44
27	16	43
28	17	42
29	18	42
30	18	41
31	19	40
32	19	39
33	21	40
34	21	40
35	22	39
36	22	38
37	23	38
38	23	37
39	24	36
40	25	36
41	25	35
42	26	34
43	26	33
44	27	33
45	28	33
46	28	32
47	29	31
48	30	32
49	31	31
50	32	30
51	32	30
52	33	29
53	34	28
54	34	28
55	35	27
56	35	26
57	36	26
58	36	25
59	37	24
60	37	24
61	38	23
62	39	23
63	40	22
64	41	22
65	41	21
66	42	20
67	42	20
68	43	19
69	43	18
70	44	18
71	45	17
72	45	16
73	46	16
74	46	15
75	47	14
76	47	14
77	48	13
78	49	13
79	49	12
80	50	11
81	51	11
82	51	10
83	52	9
84	52	9
85	53	8
86	53	8
87	54	7
88	54	6
89	55	6
90	55	5
91	56	4
92	57	4
93	57	3
94	58	3
95	58	2
96	59	1
97	60	1
98	60	0
99	61	0
